Parker Collier,,,,,,,,
Wrap:,true,,,,,,,
K(states):,5,,,,,,,
Radius:,1,,,,,,,
Quiescence:,true,,,,,,,
random seed:,1707229040,,,,,,,
,,,,,,,,
,,,,,,,,
Experiment #:,0,,,,,,,
Rule:,324442412133,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.923076923076923,1.74026401652475,2.19968779473133,2.35,repeating
1,12,,0.984,0.846153846153846,1.75739769212536,2.25775606412852,2.085,edge
2,3,,0.904,0.769230769230769,2.00909157326245,2.29546567918029,2.055,chaos
3,11,,0.88,0.692307692307692,1.97046020187596,2.19968779473133,1.945,chaos
4,8,,0.76,0.615384615384615,1.87546445739516,2.07586929669773,1.86,chaos
5,6,,0.608,0.538461538461538,1.77635118619263,1.98777337148798,1.52,chaos
6,1,,0.584,0.461538461538462,1.64397362235641,1.66918033686673,1.26,chaos
7,5,,0.44,0.384615384615385,1.56558754762766,1.54659356429494,1.28,chaos
8,9,,0.36,0.307692307692308,1.33987385635431,1.35203010175795,1.4,chaos
9,2,,0.312,0.230769230769231,1.0887158858818,0.991264260535429,1.32,chaos
10,10,,0.264,0.153846153846154,0.832722637493494,0.619382194678764,1.54,chaos
11,7,,0.12,0.0769230769230769,0.529360865287364,0.391243563629256,1.42,chaos
12,4,,0,0,0,0,0,dead
,,,,,,,,
,,,,,,,,
Experiment #:,1,,,,,,,
Rule:,313224423213,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.923076923076923,1.82912728725899,2.16197817967955,2.69,repeating
1,4,,0.872,0.846153846153846,2.15419319590859,2.25775606412852,2.74,repeating
2,2,,0.824,0.769230769230769,2.07152873111496,2.19968779473133,2.58,repeating
3,1,,0.8,0.692307692307692,2.07002093115181,2.19968779473133,2.415,repeating
4,8,,0.68,0.615384615384615,2.06450787088936,2.13393756609492,1.675,Edge – close
5,11,,0.656,0.538461538461538,1.9389288856531,1.83392721764183,1.03,Edge – verticle data transfer observed
6,12,,0.648,0.461538461538462,1.93024486335515,1.72724860626392,0.42,repeating
7,9,,0.568,0.384615384615385,1.79160763977185,1.54659356429494,0.12,repeating
8,5,,0.424,0.307692307692308,1.48007683997954,1.35203010175795,0.11,repeating
9,10,,0.376,0.230769230769231,1.23594085627489,0.991264260535429,0.145,repeating
10,3,,0.296,0.153846153846154,0.876346228915261,0.619382194678764,0,dead
11,7,,0.152,0.0769230769230769,0.614822757149069,0.391243563629256,0,dead
12,6,,0,0,0,0,0,dead
,,,,,,,,
,,,,,,,,
Experiment #:,2,,,,,,,
Rule:,234413133133,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.923076923076923,1.70104389170155,1.98777337148798,2.12,chaos
1,3,,0.912,0.846153846153846,1.85655827574339,1.98777337148798,1.64,chaos
