Parker Collier,,,,,,,,,
Wrap:,TRUE,,,,,,,,
K(states):,5,,,,,,,,
Radius:,1,,,,,,,,
Quiescence:,TRUE,,,,,,,,
random seed:,1707229040,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Experiment #:,0,,,,,,,,
Rule:,3.24442E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.740264017,2.199687795,2.35,repeating,
1,12,,0.984,0.846153846,1.757397692,2.257756064,2.085,edge,
2,3,,0.904,0.769230769,2.009091573,2.295465679,2.055,chaos,
3,11,,0.88,0.692307692,1.970460202,2.199687795,1.945,chaos,
4,8,,0.76,0.615384615,1.875464457,2.075869297,1.86,chaos,
5,6,,0.608,0.538461538,1.776351186,1.987773371,1.52,chaos,
6,1,,0.584,0.461538462,1.643973622,1.669180337,1.26,chaos,
7,5,,0.44,0.384615385,1.565587548,1.546593564,1.28,chaos,
8,9,,0.36,0.307692308,1.339873856,1.352030102,1.4,chaos,
9,2,,0.312,0.230769231,1.088715886,0.991264261,1.32,chaos,
10,10,,0.264,0.153846154,0.832722637,0.619382195,1.54,chaos,
11,7,,0.12,0.076923077,0.529360865,0.391243564,1.42,chaos,
12,4,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,1,,,,,,,,
Rule:,3.13224E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.829127287,2.16197818,2.69,repeating,
1,4,,0.872,0.846153846,2.154193196,2.257756064,2.74,repeating,
2,2,,0.824,0.769230769,2.071528731,2.199687795,2.58,repeating,
3,1,,0.8,0.692307692,2.070020931,2.199687795,2.415,repeating,
4,8,,0.68,0.615384615,2.064507871,2.133937566,1.675,edge,
5,11,,0.656,0.538461538,1.938928886,1.833927218,1.03,edge,
6,12,,0.648,0.461538462,1.930244863,1.727248606,0.42,repeating,
7,9,,0.568,0.384615385,1.79160764,1.546593564,0.12,repeating,
8,5,,0.424,0.307692308,1.48007684,1.352030102,0.11,repeating,
9,10,,0.376,0.230769231,1.235940856,0.991264261,0.145,repeating,
10,3,,0.296,0.153846154,0.876346229,0.619382195,0,dead,
11,7,,0.152,0.076923077,0.614822757,0.391243564,0,dead,
12,6,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,2,,,,,,,,
Rule:,2.34413E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.701043892,1.987773371,2.12,chaos,
1,3,,0.912,0.846153846,1.856558276,1.987773371,1.64,chaos,
2,12,,0.904,0.769230769,1.874304986,2.075869297,1.74,chaos,
3,11,,0.88,0.692307692,1.920730312,2.10390991,1.875,chaos,
4,7,,0.736,0.615384615,1.98934299,2.038159682,2.205,repeating,
5,9,,0.656,0.538461538,2.008953447,1.987773371,0.605,chaos,fun
6,4,,0.536,0.461538462,1.626312212,1.669180337,0.03,repeating,
7,10,,0.488,0.384615385,1.552258994,1.488525295,0,dead,
8,6,,0.336,0.307692308,1.356340475,1.352030102,0.025,repeating,
9,1,,0.312,0.230769231,1.206135606,0.991264261,0,dead,
10,8,,0.192,0.153846154,0.861402006,0.773228349,0,dead,
11,5,,0.048,0.076923077,0.277839574,0.391243564,0,dead,
12,2,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,3,,,,,,,,
Rule:,2.22134E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.921143694,1.987773371,2.98,chaos,
1,2,,0.944,0.846153846,2.091953441,2.133937566,3.03,chaos,
2,4,,0.824,0.769230769,2.026735452,2.075869297,0.3,repeating,
3,9,,0.744,0.692307692,2.053589318,2.10390991,0.16,repeating,
4,8,,0.624,0.615384615,1.945691749,2.075869297,0,dead,
5,10,,0.576,0.538461538,1.930215764,1.987773371,0,dead,
6,7,,0.432,0.461538462,1.762110887,1.823026491,0,dead,
7,3,,0.352,0.384615385,1.509368201,1.700439718,0,dead,
8,11,,0.328,0.307692308,1.359992794,1.352030102,0,dead,
9,12,,0.32,0.230769231,1.323205166,1.145110414,0,dead,
10,6,,0.168,0.153846154,0.752510139,0.773228349,0,dead,
11,5,,0.024,0.076923077,0.163345543,0.391243564,0,dead,
12,1,,0,0,0,0,0,dead,
,,,,,,,,,
,,,,,,,,,
Experiment #:,4,,,,,,,,
Rule:,2.13342E+11,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,
0,-,,0.992,0.923076923,1.953665317,2.10390991,2.31,chaos,
1,12,,0.984,0.846153846,1.987869406,2.199687795,2.48,chaos,
2,1,,0.96,0.769230769,2.080009349,2.23739741,2.31,chaos,
3,10,,0.912,0.692307692,2.157602864,2.199687795,2.08,chaos,
4,5,,0.768,0.615384615,1.935450456,1.922023143,2,repeating,
5,7,,0.624,0.538461538,1.935450456,1.833927218,1.345,chaos,
6,9,,0.544,0.461538462,1.845544627,1.669180337,1.235,chaos,
7,8,,0.424,0.384615385,1.565296799,1.488525295,0.845,chaos,
